ID,ShortName,AV_Diff,AC_Diff,PR_Diff,UI_Diff,S_Diff,C_Diff,I_Diff,A_Diff,Hamming_Distance
CVE-2009-10001,VulDB,0,0,1,0,1,1,0,0,3
CVE-2009-10002,VulDB,0,0,1,0,1,1,0,0,3
CVE-2009-10003,VulDB,0,0,1,0,1,1,0,0,3
CVE-2009-10004,VulDB,0,0,1,0,1,1,0,0,3
CVE-2009-1936,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2009-2168,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2009-2416,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2009-2857,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2009-3022,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2009-3482,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2010-10001,VulDB,1,0,0,1,0,0,0,1,3
CVE-2010-10003,VulDB,1,0,1,0,0,1,1,1,5
CVE-2010-10004,VulDB,0,0,1,0,1,1,0,0,3
CVE-2010-10006,VulDB,1,1,1,0,0,1,0,0,4
CVE-2010-10009,VulDB,1,0,1,0,0,1,1,1,5
CVE-2010-10010,VulDB,0,0,1,0,1,1,0,0,3
CVE-2010-10011,VulDB,0,0,0,1,0,1,0,0,2
CVE-2010-4577,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2011-0199,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2011-0611,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2011-10001,VulDB,1,0,1,0,0,1,1,1,5
CVE-2011-10002,VulDB,1,0,1,0,0,1,1,1,5
CVE-2011-10003,VulDB,1,0,1,0,0,1,1,1,5
CVE-2011-10004,VulDB,0,0,1,0,0,1,1,1,4
CVE-2011-10005,VulDB,0,0,0,0,0,1,1,1,3
CVE-2011-2054,Cisco,0,1,0,0,0,1,1,1,4
CVE-2012-0952,Canonical,0,0,0,0,0,0,0,0,0
CVE-2012-0953,Canonical,0,0,0,0,0,0,0,0,0
CVE-2012-0955,Canonical,0,0,0,1,0,0,0,0,1
CVE-2012-10002,VulDB,0,0,1,0,1,1,0,0,3
CVE-2012-10003,VulDB,0,0,1,0,1,1,0,0,3
CVE-2012-10004,VulDB,0,0,1,0,1,1,0,0,3
CVE-2012-10005,VulDB,0,0,1,0,1,1,0,0,3
CVE-2012-10006,VulDB,1,0,1,0,0,1,1,1,5
CVE-2012-10007,VulDB,0,0,1,0,1,1,0,0,3
CVE-2012-10008,VulDB,0,0,1,0,0,1,1,1,4
CVE-2012-10009,VulDB,0,0,0,0,0,1,1,1,3
CVE-2012-10010,VulDB,0,0,0,0,0,1,1,1,3
CVE-2012-10011,VulDB,0,0,1,0,0,1,1,1,4
CVE-2012-10012,VulDB,0,0,0,0,0,1,1,1,3
CVE-2012-10013,VulDB,0,0,1,0,1,1,0,0,3
CVE-2012-10014,VulDB,0,0,1,0,1,1,0,0,3
CVE-2012-10015,VulDB,0,0,0,0,0,1,1,1,3
CVE-2012-10016,VulDB,0,0,1,0,0,1,0,0,2
CVE-2012-10017,VulDB,0,0,0,0,0,1,1,1,3
CVE-2012-2993,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2012-3363,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2012-4792,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2012-5872,MITRE,0,0,0,0,0,0,0,0,0
CVE-2012-5873,MITRE,0,0,0,1,1,1,0,0,3
CVE-2013-0643,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2013-0648,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2013-10001,VulDB,0,0,0,0,0,1,1,0,2
CVE-2013-10002,VulDB,0,0,0,0,0,1,1,0,2
CVE-2013-10003,VulDB,0,0,0,0,0,1,1,1,3
CVE-2013-10004,VulDB,0,0,0,0,0,1,1,1,3
CVE-2013-10006,VulDB,1,1,1,0,0,1,0,0,4
CVE-2013-10007,VulDB,0,0,0,0,0,1,0,0,1
CVE-2013-10008,VulDB,1,0,1,0,0,1,1,1,5
CVE-2013-10009,VulDB,1,0,1,0,0,1,1,1,5
CVE-2013-10010,VulDB,0,0,0,0,1,1,0,0,2
CVE-2013-10011,VulDB,0,0,1,0,0,1,1,1,4
CVE-2013-10012,VulDB,1,0,1,0,0,1,1,1,5
CVE-2013-10013,VulDB,1,0,1,0,0,1,1,1,5
CVE-2013-10014,VulDB,1,0,1,0,0,1,1,1,5
CVE-2013-10015,VulDB,1,0,1,0,0,1,1,1,5
CVE-2013-10016,VulDB,1,0,1,0,0,1,1,1,5
CVE-2013-10017,VulDB,1,0,1,0,0,1,1,1,5
CVE-2013-10018,VulDB,1,0,1,0,0,1,1,1,5
CVE-2013-10019,VulDB,0,0,1,0,0,1,1,1,4
CVE-2013-10020,VulDB,0,0,1,0,1,1,0,0,3
CVE-2013-10021,VulDB,0,0,1,0,1,1,0,0,3
CVE-2013-10022,VulDB,0,0,1,0,1,1,0,0,3
CVE-2013-10023,VulDB,0,0,1,0,0,1,1,1,4
CVE-2013-10024,VulDB,0,0,1,1,0,1,0,0,3
CVE-2013-10025,VulDB,0,0,0,0,0,1,1,1,3
CVE-2013-10026,VulDB,0,0,1,0,1,1,0,0,3
CVE-2013-10027,VulDB,0,0,0,0,0,1,1,1,3
CVE-2013-10028,VulDB,0,0,1,0,1,1,0,0,3
CVE-2013-10029,VulDB,0,0,0,0,0,1,1,1,3
CVE-2013-10030,VulDB,0,0,1,0,0,1,0,0,2
CVE-2013-1053,Canonical,0,0,0,0,0,0,0,0,0
CVE-2013-1054,Canonical,0,0,0,0,0,0,0,1,1
CVE-2013-1055,Canonical,0,0,0,0,0,0,0,0,0
CVE-2013-3900,Microsoft,1,0,0,0,0,1,0,1,3
CVE-2014-0497,CISA-ADP,0,0,0,1,0,0,0,0,1
CVE-2014-0502,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2014-100005,CISA-ADP,1,0,1,1,0,0,0,0,3
CVE-2014-125001,VulDB,1,1,0,0,0,0,0,0,2
CVE-2014-125002,VulDB,1,0,0,1,0,0,0,1,3
CVE-2014-125003,VulDB,1,0,0,1,0,0,0,1,3
CVE-2014-125004,VulDB,1,0,0,1,0,0,0,1,3
CVE-2014-125005,VulDB,1,0,0,1,0,0,0,1,3
CVE-2014-125006,VulDB,1,0,0,1,0,0,0,1,3
CVE-2014-125007,VulDB,1,0,0,1,0,0,0,1,3
CVE-2014-125008,VulDB,1,0,0,1,0,0,0,1,3
CVE-2014-125009,VulDB,1,0,0,1,0,0,0,1,3
CVE-2014-125010,VulDB,1,0,0,1,0,0,0,1,3
CVE-2014-125011,VulDB,1,0,0,1,0,1,1,1,5
CVE-2014-125012,VulDB,1,0,0,1,0,0,0,1,3
CVE-2014-125013,VulDB,1,0,0,1,0,0,0,1,3
CVE-2014-125014,VulDB,1,0,0,1,0,0,0,1,3
CVE-2014-125015,VulDB,1,0,0,1,0,1,1,1,5
CVE-2014-125016,VulDB,1,0,0,1,0,0,0,1,3
CVE-2014-125017,VulDB,1,0,0,1,0,1,1,1,5
CVE-2014-125018,VulDB,1,0,0,1,0,0,0,1,3
CVE-2014-125019,VulDB,1,0,0,1,0,0,0,1,3
CVE-2014-125020,VulDB,1,0,0,1,0,1,1,1,5
CVE-2014-125021,VulDB,1,0,0,1,0,0,0,1,3
CVE-2014-125022,VulDB,1,0,0,1,0,0,0,1,3
CVE-2014-125023,VulDB,1,0,0,1,0,0,0,1,3
CVE-2014-125024,VulDB,1,0,0,1,0,1,1,1,5
CVE-2014-125025,VulDB,1,0,0,1,0,0,0,1,3
CVE-2014-125027,VulDB,0,0,1,0,1,1,0,0,3
CVE-2014-125028,VulDB,0,0,0,0,0,1,1,1,3
CVE-2014-125029,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125030,VulDB,1,0,0,0,0,1,1,1,4
CVE-2014-125031,VulDB,0,0,1,0,1,1,0,0,3
CVE-2014-125032,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125033,VulDB,1,0,1,0,0,1,0,0,3
CVE-2014-125034,VulDB,0,0,1,0,1,1,0,0,3
CVE-2014-125035,VulDB,0,0,1,0,1,1,0,0,3
CVE-2014-125036,VulDB,0,1,1,0,0,0,0,0,2
CVE-2014-125037,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125038,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125039,VulDB,0,0,1,0,1,1,0,0,3
CVE-2014-125040,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125041,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125044,VulDB,0,0,1,0,0,1,1,1,4
CVE-2014-125045,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125046,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125047,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125048,VulDB,1,0,0,1,0,0,0,1,3
CVE-2014-125050,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125051,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125052,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125053,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125054,VulDB,0,0,0,0,0,0,0,0,0
CVE-2014-125055,VulDB,1,1,1,0,0,0,0,0,3
CVE-2014-125056,VulDB,1,1,1,0,0,0,0,0,3
CVE-2014-125057,VulDB,0,1,1,0,0,1,1,1,5
CVE-2014-125058,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125059,VulDB,0,1,1,0,0,1,1,1,5
CVE-2014-125060,VulDB,0,0,0,0,0,1,1,1,3
CVE-2014-125062,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125063,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125065,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125066,VulDB,0,0,1,0,0,0,0,1,2
CVE-2014-125067,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125068,VulDB,1,0,1,0,0,0,1,1,4
CVE-2014-125069,VulDB,0,0,1,0,0,0,0,0,1
CVE-2014-125070,VulDB,0,0,1,0,1,1,0,0,3
CVE-2014-125071,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125072,VulDB,0,0,1,0,0,1,1,1,4
CVE-2014-125073,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125074,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125075,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125076,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125077,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125078,VulDB,0,0,0,0,1,1,0,0,2
CVE-2014-125079,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125080,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125081,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125082,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125083,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125084,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125085,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125086,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125087,VulDB,1,0,1,0,0,1,1,1,5
CVE-2014-125088,VulDB,0,0,1,0,1,1,0,0,3
CVE-2014-125089,VulDB,0,0,1,0,1,1,0,0,3
CVE-2014-125090,VulDB,0,0,1,0,1,1,0,0,3
CVE-2014-125091,VulDB,0,0,1,0,0,1,1,1,4
CVE-2014-125092,VulDB,0,0,1,0,1,1,0,0,3
CVE-2014-125093,VulDB,0,0,1,0,0,1,0,0,2
CVE-2014-125094,VulDB,0,0,1,0,1,1,0,0,3
CVE-2014-125095,VulDB,0,0,1,0,1,1,0,0,3
CVE-2014-125096,VulDB,0,0,1,0,1,1,0,0,3
CVE-2014-125097,VulDB,0,0,1,0,1,1,0,0,3
CVE-2014-125098,VulDB,0,0,0,0,1,1,0,0,2
CVE-2014-125099,VulDB,0,0,1,0,0,1,1,1,4
CVE-2014-125100,VulDB,0,0,1,0,1,1,0,0,3
CVE-2014-125101,VulDB,0,0,1,0,0,1,1,1,4
CVE-2014-125102,VulDB,0,0,1,0,0,1,0,0,2
CVE-2014-125103,VulDB,0,0,1,0,1,1,0,0,3
CVE-2014-125104,VulDB,0,0,1,0,0,1,1,1,4
CVE-2014-125105,VulDB,0,0,1,0,1,1,0,0,3
CVE-2014-125106,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2014-125107,VulDB,0,0,1,0,0,0,0,0,1
CVE-2014-125108,VulDB,0,1,0,0,1,1,0,0,3
CVE-2014-125109,VulDB,0,0,1,0,1,1,0,0,3
CVE-2014-1420,Canonical,0,0,0,0,1,0,0,0,1
CVE-2014-1422,Canonical,0,0,0,0,0,0,0,0,0
CVE-2014-1423,Canonical,0,0,1,0,1,0,0,0,2
CVE-2014-2120,CISA-ADP,0,0,1,0,0,0,0,0,1
CVE-2014-4404,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2015-0749,Cisco,0,0,0,0,1,1,0,0,2
CVE-2015-10002,VulDB,0,0,0,0,0,1,1,1,3
CVE-2015-10003,VulDB,0,0,0,0,0,0,0,0,0
CVE-2015-10005,VulDB,1,0,1,0,0,0,0,1,3
CVE-2015-10006,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10009,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10010,VulDB,0,1,0,0,1,1,0,0,3
CVE-2015-10011,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10013,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10014,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10015,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10016,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10017,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10018,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10019,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10020,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10021,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10022,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10023,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10024,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10025,VulDB,1,0,1,0,0,0,0,1,3
CVE-2015-10026,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10027,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10028,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10029,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10030,VulDB,1,0,1,0,0,0,1,1,4
CVE-2015-10031,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10032,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10033,VulDB,1,0,0,0,0,0,1,1,3
CVE-2015-10034,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10035,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10036,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10037,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10038,VulDB,0,0,0,0,0,1,1,1,3
CVE-2015-10039,VulDB,0,0,0,0,0,1,1,1,3
CVE-2015-10040,VulDB,0,0,0,0,0,0,1,1,2
CVE-2015-10043,VulDB,1,0,0,0,0,1,1,1,4
CVE-2015-10044,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10045,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10046,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10047,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10048,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10049,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10050,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10051,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10053,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10054,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10055,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10056,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10057,VulDB,1,1,1,0,0,1,1,1,6
CVE-2015-10058,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10059,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10060,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10061,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10062,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10063,VulDB,0,0,0,0,0,1,1,1,3
CVE-2015-10064,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10065,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10066,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10067,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10068,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10069,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10070,VulDB,1,0,0,0,0,1,1,1,4
CVE-2015-10071,VulDB,1,1,1,0,0,1,0,0,4
CVE-2015-10072,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10073,VulDB,0,0,1,0,1,1,1,1,5
CVE-2015-10074,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10075,VulDB,0,1,1,0,1,1,0,0,4
CVE-2015-10076,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10077,VulDB,0,0,1,0,0,1,1,1,4
CVE-2015-10078,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10079,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10080,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10081,VulDB,0,0,0,0,0,1,1,1,3
CVE-2015-10082,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10083,VulDB,1,0,0,0,0,1,1,1,4
CVE-2015-10084,VulDB,1,0,1,0,0,1,1,1,5
CVE-2015-10085,VulDB,1,0,1,0,0,0,0,1,3
CVE-2015-10086,VulDB,0,0,0,0,0,1,1,1,3
CVE-2015-10088,VulDB,0,0,1,0,0,1,1,1,4
CVE-2015-10089,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10090,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10091,VulDB,0,0,0,0,0,1,1,1,3
CVE-2015-10092,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10093,VulDB,0,1,0,0,1,1,0,0,3
CVE-2015-10094,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10095,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10096,VulDB,0,0,1,0,0,1,1,1,4
CVE-2015-10097,VulDB,0,0,1,0,0,1,1,1,4
CVE-2015-10098,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10099,VulDB,0,0,1,0,0,1,1,1,4
CVE-2015-10100,VulDB,0,0,1,0,0,1,1,1,4
CVE-2015-10101,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10102,VulDB,0,0,1,1,1,0,0,1,4
CVE-2015-10103,VulDB,0,0,0,1,0,0,0,1,2
CVE-2015-10104,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10105,VulDB,0,0,1,0,0,1,1,1,4
CVE-2015-10107,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10108,VulDB,0,0,0,0,0,1,1,1,3
CVE-2015-10109,VulDB,0,0,0,0,0,1,1,1,3
CVE-2015-10110,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10111,VulDB,0,0,1,0,0,1,1,1,4
CVE-2015-10112,VulDB,0,0,0,0,1,1,0,0,2
CVE-2015-10113,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10114,VulDB,0,0,0,0,1,1,0,0,2
CVE-2015-10115,VulDB,0,0,0,0,1,1,0,0,2
CVE-2015-10116,VulDB,0,0,0,0,0,1,1,1,3
CVE-2015-10117,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10118,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10119,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10120,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10121,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10122,VulDB,0,0,1,0,0,1,1,1,4
CVE-2015-10124,VulDB,0,0,1,0,0,1,1,1,4
CVE-2015-10125,VulDB,0,0,0,0,0,1,1,1,3
CVE-2015-10126,VulDB,0,0,1,0,0,1,1,1,4
CVE-2015-10127,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10128,VulDB,0,0,1,0,1,1,0,0,3
CVE-2015-10129,VulDB,0,0,0,0,0,1,0,0,1
CVE-2015-20108,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2015-2051,CISA-ADP,1,0,0,0,0,0,0,0,1
CVE-2015-3006,MITRE,0,0,0,0,0,0,0,0,0
CVE-2015-5361,MITRE,0,0,0,0,0,0,0,0,0
CVE-2015-6964,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2015-7946,Canonical,0,0,0,0,1,0,1,0,2
CVE-2015-8315,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2015-8963,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2016-10180,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2016-10394,Qualcomm,0,0,1,0,0,0,0,0,1
CVE-2016-10408,Qualcomm,0,0,1,0,0,0,0,0,1
CVE-2016-15002,VulDB,0,0,1,0,0,1,1,1,4
CVE-2016-15003,VulDB,1,0,0,0,0,1,1,1,4
CVE-2016-15004,VulDB,0,0,0,0,0,1,1,1,3
CVE-2016-15006,VulDB,0,1,0,0,0,0,0,0,1
CVE-2016-15007,VulDB,1,0,1,0,0,1,1,1,5
CVE-2016-15008,VulDB,0,0,1,0,1,1,0,0,3
CVE-2016-15009,VulDB,0,0,1,0,0,1,1,1,4
CVE-2016-15011,VulDB,1,0,1,0,0,1,1,1,5
CVE-2016-15013,VulDB,1,0,1,0,0,1,1,1,5
CVE-2016-15014,VulDB,0,0,0,0,0,1,0,0,1
CVE-2016-15015,VulDB,1,1,1,0,0,0,0,0,3
CVE-2016-15016,VulDB,1,0,1,0,0,1,1,1,5
CVE-2016-15017,VulDB,1,0,1,0,0,1,1,1,5
CVE-2016-15018,VulDB,1,0,1,0,0,1,1,1,5
CVE-2016-15019,VulDB,0,0,1,0,0,1,0,0,2
CVE-2016-15020,VulDB,1,0,1,0,0,1,1,1,5
CVE-2016-15021,VulDB,1,0,1,0,0,1,1,1,5
CVE-2016-15022,VulDB,0,1,1,0,1,1,0,0,4
CVE-2016-15023,VulDB,1,0,1,0,0,0,0,0,2
CVE-2016-15024,VulDB,0,1,0,0,0,0,0,1,2
CVE-2016-15025,VulDB,0,0,1,0,1,1,0,0,3
CVE-2016-15026,VulDB,0,0,0,0,0,1,1,1,3
CVE-2016-15027,VulDB,0,0,1,0,1,1,0,0,3
CVE-2016-15028,VulDB,0,0,0,0,0,0,1,1,2
CVE-2016-15029,VulDB,0,0,1,0,1,1,0,0,3
CVE-2016-15030,VulDB,0,0,1,0,1,1,0,0,3
CVE-2016-15031,VulDB,0,0,0,0,0,1,1,1,3
CVE-2016-15033,Wordfence,0,0,0,0,0,0,0,0,0
CVE-2016-15034,VulDB,1,0,1,0,0,1,1,1,5
CVE-2016-15035,VulDB,0,0,1,0,1,1,0,0,3
CVE-2016-15037,VulDB,0,0,1,0,1,1,0,0,3
CVE-2016-1646,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2016-3427,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2016-3714,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2016-4655,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2016-4656,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2016-4657,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2016-5195,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2016-5198,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2016-6555,Rapid7,0,0,0,0,1,1,0,0,2
CVE-2016-6556,Rapid7,0,0,0,0,1,1,0,0,2
CVE-2017-1000253,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2017-10271,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2017-10617,Juniper,0,0,0,0,0,0,0,0,0
